name,short_prompt,long_prompt
Select a style...,,,
Artistic Realism,"Artistic Realism.","Artistic Realism.",
Artistic Impressionism,"Artistic Impressionism.","Artistic Impressionism.",
Artistic Expressionism,"Artistic Expressionism.","Artistic Expressionism.",
Artistic Cubism,"Artistic Cubism.","Artistic Cubism.",
Artictic conceptual,"Conceptual Art.","Conceptual Art.",
Artistic Surrealism,"Artistic Surrealism.","Artistic Surrealism.",
Artistic Pop,"Artistic Pop.","Artistic Pop.",
Artistic Street,"Graffiti art.","Graffiti art.",
Abstract Reality,"Abstract visual.","Abstract forms and shapes.",
Abstract Expressionism,"Abstract Expressionism.","Abstract Expressionism.",
Abstract Minimalism,"Abstract Minimalism.","Abstract Minimalism.",
Photorealism color,"8K, Realistic colors, Hyperrealism, Depth of Field.","High definition, ultra resolution, high quality image.",
Photorealism Black and white,"Photorealism Black and white.","Photorealism Black and white.",
Photorealism Sepia,"Photorealism Sepia.","Photorealism Sepia.",
Photorealism Vintage,"Photorealism Vintage.","Photorealism Vintage.",
Digital 3D Art,"Digital 3D Art.","Digital 3D Art.",
Cartoon Anime,"Manga cartoon style.","Manga cartoon style.",
Video Cinematic,"Film and video art.","Film and video art.",
Industrial design,"Industrial design.","CAD blueprint.",
